Year,Total_Arrivals,By_Air,By_Land,Growth_Rate_Percent,Avg_Length_of_Stay_Days,Key_Event
1964,"9,526","8,435","1,091",,NA,Tourism begins in Nepal
1970,"45,970","36,508","9,462",31.7,NA,
1975,"92,440","78,995","13,445",2.9,13.05,
1980,"162,897","139,387","23,510",0.4,11.18,
1985,"180,989","151,870","29,119",2.5,11.3,
1990,"254,885","226,421","28,464",6.2,12,
1991,"292,995","267,932","25,063",15,9.25,
1992,"334,353","300,496","33,857",14.1,10.14,
1993,"293,567","254,140","39,427",-12.2,11.94,Political instability
1994,"326,531","289,381","37,150",11.2,10,
1995,"363,395","325,035","38,360",11.3,11.27,
1996,"393,613","343,246","50,367",8.3,13.5,
1997,"421,857","371,145","50,712",7.2,10.49,
1998,"463,684","398,008","65,676",9.9,10.76,
1999,"491,504","421,243","70,261",6,12.28,
2000,"463,646","376,914","86,732",-5.7,11.88,Political unrest
2001,"361,237","299,514","61,723",-22.1,11.93,9/11 attacks & Maoist conflict
2002,"275,468","218,660","56,808",-23.7,7.92,Civil war intensifies
2003,"338,132","275,438","62,694",22.7,9.6,Recovery begins
2004,"385,297","297,335","87,962",13.9,13.51,
2005,"375,398","277,346","98,052",-2.6,9.09,Royal massacre aftermath
2006,"383,926","283,819","100,107",2.3,10.2,
2007,"526,705","360,713","165,992",37.2,11.96,Peace agreement - surge
2008,"500,277","374,661","125,616",-5,11.78,Global financial crisis
2009,"509,956","379,322","130,634",1.9,11.32,
2010,"602,867","448,800","154,067",18.2,12.67,
2011,"736,215","545,221","190,994",22.1,13.12,
2012,"803,092","598,258","204,834",9.1,12.16,
2013,"797,616","594,848","202,768",-0.7,12.6,
2014,"790,118","585,981","204,137",-0.9,12.44,
2015,"538,970","407,412","131,558",-32,13.16,Devastating earthquake April 2015
2016,"753,002","572,563","180,439",40,13.4,Post-earthquake recovery
2017,"940,218","760,577","179,641",25,12.6,
2018,"1,173,072","969,287","203,785",25,12.4,Record high pre-COVID
2019,"1,197,191","995,884","201,307",2.05,12.7,All-time record
2020,"230,085","183,130","46,955",-80.7,15.1,COVID-19 pandemic
2021,"150,962","150,625",337,-34.3,15.5,COVID-19 continued
2022,"614,869","592,631","22,238",307.3,13.1,Recovery begins
2023,"1,014,882","914,270","100,612",65.05,13.2,Strong recovery
